,weight
IDXX,0.0
KKR,0.0
IEX,0.0
IP,0.0
IR,0.0
AAPL,0.0
J,0.0
JBHT,0.0
JCI,0.0
KHC,0.0
ZTS,0.0
