ticker,epochs_trained,train_r2,train_rmse,train_mae,train_dir_acc,val_r2,val_rmse,val_mae,val_dir_acc,test_r2,test_rmse,test_mae,test_dir_acc,final_train_loss,final_val_loss,best_val_loss,training_time_sec,latest_date,forecast_return
MCO,16,0.24750010524091326,0.06646320634872362,0.04705073126069124,73.55466514024042,-0.04265955312506042,0.04688594485103354,0.03870945610477476,64.51612903225806,-0.11241527057096534,0.06687718569254889,0.0507078136416369,50.68493150684932,0.20911279320716858,0.7525475025177002,0.6202831268310547,33.010998487472534,2026-01-16,-0.9932339
CRH,17,0.2771841882812014,0.07391958495878806,0.05043832141248836,71.91977077363897,0.14387316664492844,0.0609447503775132,0.04963581242517575,69.72477064220183,-0.23668599174847937,0.09558175004940654,0.07655328215621363,50.68493150684932,0.13667963445186615,0.7459431290626526,0.5554590225219727,17.225582122802734,2026-01-16,4.7963977
CNC,16,0.22433589224096384,0.07217004662078429,0.053558486982936894,72.28915662650603,-0.10647304356252829,0.09404361755572274,0.07352766554572501,55.96330275229357,0.024550050446399574,0.21593510630194296,0.14638947048985854,50.68493150684932,0.17687775194644928,0.9728320240974426,0.7982121109962463,16.28575110435486,2026-01-16,-8.773243
XYL,16,0.14936761859698744,0.0733769253072398,0.05538262349835591,66.89576174112256,0.14773431604019716,0.054858790255950675,0.04256169627737726,51.8348623853211,-0.027345087975830573,0.06896869822142254,0.05197172690722837,50.2283105022831,0.14184653759002686,0.5555416941642761,0.41715967655181885,12.025726318359375,2026-01-16,-0.044882298
WMB,16,0.3525601531479532,0.07483545784491523,0.05048939331001247,73.94043528064147,-1.5813429882005083,0.08436607839548657,0.07114278157845616,34.403669724770644,-0.13851755354876638,0.05216768547016918,0.04108952052040765,50.2283105022831,0.1393410712480545,1.1217617988586426,1.0043917894363403,16.324251651763916,2026-01-16,0.3029704
URI,16,0.2944019134158977,0.10758076166720124,0.07844912540830619,73.32570120206069,-0.01836982588544478,0.09837717042051354,0.07795669588239179,51.8348623853211,-0.43521969278356676,0.1266673198241268,0.10652978157451347,50.2283105022831,0.133609801530838,0.7662728428840637,0.5384534597396851,16.16947293281555,2026-01-16,-9.489793
PNC,24,0.8658108823911155,0.03218453994839544,0.023906026855975253,86.72009158557528,0.15573441939002508,0.05904497977965487,0.04789520267822991,64.6788990825688,-0.34917632138592225,0.0995338565284568,0.08277734657300459,50.2283105022831,0.15765634179115295,0.7631707787513733,0.5743199586868286,23.197048664093018,2026-01-16,1.3404131
TEAM,16,0.03549041651330731,0.13512311505228758,0.09730069773774688,63.36576989124213,0.06727481649195921,0.1425124928338122,0.11921264002185471,59.63302752293578,-0.7244323578726222,0.15582260157264224,0.12553962042172281,50.2283105022831,0.19907326996326447,0.9402273297309875,0.7677581310272217,16.914942741394043,2026-01-16,-1.2513459
IRM,20,0.7667325206865285,0.037256059455313864,0.027253406162527097,84.756446991404,0.2702906908288977,0.07309579863965657,0.057061620613398145,78.89908256880734,-0.35808617863903436,0.11868597912324823,0.09648974494742639,49.77168949771689,0.1501510739326477,0.8045257329940796,0.49126899242401123,17.375492095947266,2026-01-16,12.632012
JBHT,21,0.7485597220095348,0.0391724730302833,0.030402969921276772,81.84421534936999,-0.13349483683152386,0.069980227820651,0.056004528180131574,66.05504587155964,-0.12591596540340233,0.11351085583796938,0.09564038478589228,49.77168949771689,0.13163921236991882,0.671391487121582,0.54937744140625,23.05654215812683,2026-01-16,0.50861835
