ticker,latest_date,forecast_return,test_dir_acc,test_r2
CVX,2026-01-16,2.2852778,81.27853881278538,0.10877185746119677
KHC,2026-01-16,-12.247539,79.90867579908677,-0.43086165184347025
WELL,2026-01-16,3.4043431,77.6255707762557,0.1201508416847239
CRWD,2026-01-16,3.8986921,76.86567164179104,0.17935459004590548
ORCL,2026-01-16,3.9161801,75.34246575342466,0.2265967622522348
LRCX,2026-01-16,10.050273,73.51598173515981,-0.08850961158339321
SYF,2026-01-16,-1.1415005,72.93577981651376,0.13103758254295417
RTX,2026-01-16,0.4235506,72.14611872146118,-0.41978512540512347
HD,2026-01-16,4.453945,70.77625570776256,0.13282073057322885
EIX,2026-01-16,0.623858,70.64220183486239,0.08345698820612935
GE,2026-01-16,1.1883736,70.31963470319634,-0.21234880752365326
NTNX,2026-01-16,1.2283206,70.1492537313433,0.020938731320108706
HUBB,2026-01-16,3.6109805,69.40639269406392,-0.09036660467901725
PSX,2026-01-16,1.7467618,69.40639269406392,0.36928271385660794
CRM,2026-01-16,-4.2065144,68.0365296803653,-0.2542308559470414
CMCSA,2026-01-16,3.2296896,67.57990867579909,-0.020850204112792703
APD,2026-01-16,6.226027,67.57990867579909,-0.39836631725204663
CCK,2026-01-16,8.772707,67.57990867579909,0.27986983639748453
CBOE,2026-01-16,5.0165057,67.12328767123287,0.06433877129511811
MA,2026-01-16,2.3038745,67.12328767123287,0.1032373153517614
ES,2026-01-16,7.417476,66.97247706422019,0.20122067701957047
MSTR,2026-01-16,-5.3097367,66.21004566210046,-0.021111685447552375
TT,2026-01-16,5.457449,66.21004566210046,0.3528023278425483
LDOS,2026-01-16,-2.981162,66.21004566210046,-0.7618012849392441
HCA,2026-01-16,3.0521154,66.21004566210046,-0.2844781061046566
JPM,2026-01-16,2.2684693,65.75342465753424,-0.047749323171917046
GOOG,2026-02-02,6.5782666,65.31049250535332,-0.07840218045844582
CMS,2026-01-16,1.1041999,65.29680365296804,0.04804649037342745
EME,2026-01-16,8.48875,65.29680365296804,-0.6496762451075484
LULU,2026-01-16,-2.5271654,64.84018264840182,-0.1827453469178768
DAL,2026-01-16,-1.2015641,64.84018264840182,0.10663267900325402
MCK,2026-01-16,4.587686,64.84018264840182,-0.13782013470038068
VZ,2026-01-16,0.28806925,64.6788990825688,0.1451711748086767
COR,2026-01-16,-6.6319885,63.926940639269404,-0.2563179452882407
EXPD,2026-01-16,1.5037537,63.926940639269404,-0.48098891329271165
NEE,2026-01-16,5.639136,63.926940639269404,-0.12693860642359978
KDP,2026-01-16,4.938936,63.926940639269404,0.06009542488333586
PHM,2026-01-16,3.9166331,63.76146788990825,0.1786516324389943
CDNS,2026-01-16,1.9411445,63.4703196347032,-0.1241735974007101
NOC,2026-01-16,4.1052938,63.4703196347032,-0.11805315445700426
ZTS,2026-01-16,-0.50101876,63.4703196347032,0.002362884239288099
MDB,2026-01-16,-2.7338684,63.42857142857142,-0.5505807034672368
NUE,2026-01-16,0.69411993,63.013698630136986,-0.10773672528015044
CAT,2026-01-16,3.7817001,63.013698630136986,-0.433044878396204
DGX,2026-01-16,4.435289,62.38532110091744,-1.824138893133867
