Date,Ticker,Type,Price
2024-12-09,HUM,Close,270.3237609863281
2024-12-09,HWM,Close,113.12921905517578
2024-12-09,IBM,Close,225.0063934326172
2024-12-09,IDXX,Close,432.1000061035156
2024-12-09,IEX,Close,219.67234802246094
2024-12-09,INTC,Close,20.34000015258789
2024-12-09,INTU,Close,652.1409912109375
2024-12-09,IP,Close,53.36378479003906
2024-12-09,IQV,Close,199.05999755859375
2024-12-09,IR,Close,100.99986267089844
2024-12-09,IRM,Close,108.43843078613281
2024-12-09,ISRG,Close,539.5800170898438
2024-12-09,IT,Close,508.4599914550781
2024-12-09,J,Close,134.34115600585938
2024-12-09,JBHT,Close,177.7237548828125
2024-12-09,JCI,Close,81.58670806884766
2024-12-09,JNJ,Close,142.26515197753906
2024-12-09,JPM,Close,234.9660186767578
2024-12-09,K,Close,78.32757568359375
2024-12-09,KDP,Close,32.55968475341797
2024-12-09,KEYS,Close,166.5
2024-12-09,KHC,Close,29.90096092224121
2024-12-09,KKR,Close,153.46791076660156
2024-12-09,KMB,Close,126.17425537109375
2024-12-09,KMI,Close,25.74535369873047
2024-12-09,KMX,Close,86.26000213623047
2024-12-09,KO,Close,61.311119079589844
2024-12-09,KR,Close,60.82437515258789
2024-12-09,KVUE,Close,21.32599639892578
2024-12-09,LDOS,Close,151.5612335205078
2024-12-09,LH,Close,229.4644317626953
2024-12-09,LII,Close,658.6646118164062
2024-12-09,LIN,Close,429.5165710449219
2024-12-09,LKQ,Close,36.71277618408203
2024-12-09,LLY,Close,783.2776489257812
2024-12-09,LNG,Close,211.1092987060547
2024-12-09,LOW,Close,257.237548828125
2024-12-09,LRCX,Close,75.33660888671875
2024-12-09,LULU,Close,391.6300048828125
2024-12-09,MA,Close,525.9779663085938
2024-12-09,MCD,Close,289.8396301269531
2024-12-09,MCK,Close,573.8117065429688
2024-12-09,MCO,Close,485.3191833496094
2024-12-09,MDB,Close,267.19000244140625
2024-12-09,MELI,Close,1823.8599853515625
2024-12-09,MET,Close,80.65202331542969
2024-12-09,META,Close,618.405517578125
2024-12-09,MKC,Close,78.59650421142578
2024-12-09,MLM,Close,547.755615234375
2024-12-09,MMC,Close,211.68716430664062
2024-12-09,MMM,Close,127.51256561279297
2024-12-09,MOS,Close,25.970083236694336
2024-12-09,MRK,Close,98.35720825195312
2024-12-09,MRNA,Close,41.83000183105469
2024-12-09,MRVL,Close,120.39338684082031
2024-12-09,MS,Close,123.9298324584961
