Date,Ticker,Type,Price
2024-12-02,AAPL,Close,241.7466278076172
2024-12-02,AAPL,High,243.52857697582414
2024-12-02,AAPL,Low,240.99005511798387
2024-12-02,AAPL,Open,242.89145913453095
2024-12-02,AAPL,Volume,76904500.0
2024-12-02,AMZN,Close,227.02999877929688
2024-12-02,AMZN,High,227.14999389648438
2024-12-02,AMZN,Low,217.3000030517578
2024-12-02,AMZN,Open,218.02999877929688
2024-12-02,AMZN,Volume,85318300.0
2024-12-02,GOOG,Close,175.72091674804688
2024-12-02,GOOG,High,176.93560158154014
2024-12-02,GOOG,Low,172.7937259260974
2024-12-02,GOOG,Open,176.54730168836088
2024-12-02,GOOG,Volume,29465000.0
2024-12-02,MSFT,Close,440.32183837890625
2024-12-02,MSFT,High,442.8333105145372
2024-12-02,MSFT,Low,432.9760330658995
2024-12-02,MSFT,Open,434.7132181876155
2024-12-02,MSFT,Volume,40518800.0
2024-12-02,NVDA,Close,142.39125061035156
2024-12-02,NVDA,High,146.48983818312107
2024-12-02,NVDA,Low,141.2616324855157
2024-12-02,NVDA,Open,145.06033493980362
2024-12-02,NVDA,Volume,361126800.0
2024-12-09,AAPL,Close,247.0128173828125
2024-12-09,AAPL,High,249.6707940770443
2024-12-09,AAPL,Low,240.661538013097
2024-12-09,AAPL,Open,240.74117964166157
2024-12-09,AAPL,Volume,192702600.0
2024-12-09,AMZN,Close,227.4600067138672
2024-12-09,AMZN,High,231.1999969482422
2024-12-09,AMZN,Low,224.1999969482422
2024-12-09,AMZN,Open,227.2100067138672
2024-12-09,AMZN,Volume,170377300.0
2024-12-09,GOOG,Close,190.54605102539062
2024-12-09,GOOG,High,196.0320352853036
2024-12-09,GOOG,Low,174.63567423001078
2024-12-09,GOOG,Open,174.94930402278914
2024-12-09,GOOG,Volume,139950700.0
2024-12-09,MSFT,Close,443.9947204589844
2024-12-09,MSFT,High,452.8196353105566
2024-12-09,MSFT,Low,437.27430671903244
2024-12-09,MSFT,Open,439.3589348984207
2024-12-09,MSFT,Volume,97826700.0
2024-12-09,NVDA,Close,134.21328735351562
2024-12-09,NVDA,High,141.78122454735987
2024-12-09,NVDA,Low,132.50374826625531
2024-12-09,NVDA,Open,138.93199782013144
2024-12-09,NVDA,Volume,974961000.0
2024-12-16,AAPL,Close,253.34420776367188
2024-12-16,AAPL,High,253.85190610745477
2024-12-16,AAPL,Low,244.58382522076937
2024-12-16,AAPL,Open,246.8734729021093
2024-12-16,AAPL,Volume,368202900.0
2024-12-16,AMZN,Close,224.9199981689453
2024-12-16,AMZN,High,233.0
2024-12-16,AMZN,Low,218.72999572753906
2024-12-16,AMZN,Open,230.22999572753906
2024-12-16,AMZN,Volume,244979500.0
2024-12-16,GOOG,Close,192.33712768554688
2024-12-16,GOOG,High,202.22510388825347
2024-12-16,GOOG,Low,185.76838878723544
2024-12-16,GOOG,Open,193.73759109873683
2024-12-16,GOOG,Volume,156317400.0
2024-12-16,MSFT,Close,433.40289306640625
2024-12-16,MSFT,High,451.95603327777656
2024-12-16,MSFT,Low,425.4912541783927
2024-12-16,MSFT,Open,443.9947423508389
2024-12-16,MSFT,Volume,158004200.0
2024-12-16,NVDA,Close,134.6631622314453
2024-12-16,NVDA,High,136.66261531655843
2024-12-16,NVDA,Low,126.82530979890983
2024-12-16,NVDA,Open,134.1433001580233
2024-12-16,NVDA,Volume,1291053700.0
2024-12-23,AAPL,Close,254.43922424316406
2024-12-23,AAPL,High,258.92892807561645
2024-12-23,AAPL,Low,251.92061656694878
2024-12-23,AAPL,Open,253.62292412186488
2024-12-23,AAPL,Volume,133685900.0
2024-12-23,AMZN,Close,223.75
2024-12-23,AMZN,High,229.13999938964844
2024-12-23,AMZN,Low,220.89999389648438
2024-12-23,AMZN,Open,225.00999450683594
2024-12-23,AMZN,Volume,86591300.0
2024-12-23,GOOG,Close,193.4136199951172
2024-12-23,GOOG,High,197.52033071871531
2024-12-23,GOOG,Low,191.0114111857967
