Date,Ticker,Type,Price
2024-08-12,AAPL,Close,224.52505493164062
2024-08-19,AAPL,Close,225.57049560546875
2024-08-26,AAPL,Close,227.7184295654297
2024-09-02,AAPL,Close,219.58421325683594
2024-09-09,AAPL,Close,221.2548065185547
2024-09-16,AAPL,Close,226.9228973388672
2024-09-23,AAPL,Close,226.51516723632812
2024-09-30,AAPL,Close,225.53073120117188
2024-10-07,AAPL,Close,226.27655029296875
2024-10-14,AAPL,Close,233.68482971191406
2024-10-21,AAPL,Close,230.11492919921875
2024-10-28,AAPL,Close,221.66249084472656
2024-11-04,AAPL,Close,225.68984985351562
2024-11-11,AAPL,Close,223.98695373535156
2024-11-18,AAPL,Close,228.83502197265625
2024-11-25,AAPL,Close,236.26144409179688
2024-12-02,AAPL,Close,241.7466278076172
2024-12-09,AAPL,Close,247.0128173828125
2024-12-16,AAPL,Close,253.34420776367188
2024-12-23,AAPL,Close,254.43922424316406
2024-12-30,AAPL,Close,242.26431274414062
2025-01-06,AAPL,Close,235.7836151123047
2025-01-13,AAPL,Close,228.9445343017578
2025-01-20,AAPL,Close,221.77694702148438
2025-01-27,AAPL,Close,234.93743896484375
2025-02-03,AAPL,Close,226.60511779785156
2025-02-10,AAPL,Close,243.49871826171875
2025-02-17,AAPL,Close,244.71319580078125
2025-02-24,AAPL,Close,241.01583862304688
2025-03-03,AAPL,Close,238.2552947998047
2025-03-10,AAPL,Close,212.76246643066406
2025-03-17,AAPL,Close,217.5261688232422
2025-03-24,AAPL,Close,217.1574249267578
2025-03-31,AAPL,Close,187.738037109375
2025-04-07,AAPL,Close,197.47471618652344
2025-04-14,AAPL,Close,196.3087158203125
2025-04-21,AAPL,Close,208.56680297851562
2025-04-28,AAPL,Close,204.65020751953125
2025-05-05,AAPL,Close,197.8534393310547
2025-05-12,AAPL,Close,210.5400390625
2025-05-19,AAPL,Close,194.85975646972656
2025-05-26,AAPL,Close,200.4280242919922
2025-06-02,AAPL,Close,203.49156188964844
2025-06-09,AAPL,Close,196.03726196289062
2025-06-16,AAPL,Close,200.57769775390625
2025-06-23,AAPL,Close,200.65753173828125
2025-06-30,AAPL,Close,213.10134887695312
2025-07-07,AAPL,Close,210.7163543701172
2025-07-14,AAPL,Close,210.73631286621094
2025-07-21,AAPL,Close,213.43064880371094
2025-07-28,AAPL,Close,201.95481872558594
2025-08-04,AAPL,Close,228.86814880371094
2025-08-11,AAPL,Close,231.10342407226562
2025-08-18,AAPL,Close,227.53941345214844
2025-08-25,AAPL,Close,231.91517639160156
2023-10-02,ABBV,Close,136.81118774414062
2023-10-09,ABBV,Close,136.5527801513672
2023-10-16,ABBV,Close,136.30697631835938
2023-10-23,ABBV,Close,129.50233459472656
2023-10-30,ABBV,Close,131.82339477539062
2023-11-06,ABBV,Close,129.18544006347656
2023-11-13,ABBV,Close,128.91510009765625
2023-11-20,ABBV,Close,129.260009765625
2023-11-27,ABBV,Close,133.67837524414062
2023-12-04,ABBV,Close,139.15003967285156
2023-12-11,ABBV,Close,143.58700561523438
2023-12-18,ABBV,Close,144.42593383789062
2023-12-25,ABBV,Close,144.4539337158203
2024-01-01,ABBV,Close,151.13734436035156
2024-01-08,ABBV,Close,151.3797149658203
2024-01-15,ABBV,Close,155.0563201904297
2024-01-22,ABBV,Close,154.70814514160156
2024-01-29,ABBV,Close,158.7263946533203
2024-02-05,ABBV,Close,163.8174591064453
2024-02-12,ABBV,Close,167.02642822265625
2024-02-19,ABBV,Close,167.59107971191406
2024-02-26,ABBV,Close,168.36273193359375
2024-03-04,ABBV,Close,168.3062744140625
2024-03-11,ABBV,Close,167.39346313476562
2024-03-18,ABBV,Close,167.9298553466797
2024-03-25,ABBV,Close,171.36468505859375
2024-04-01,ABBV,Close,159.97799682617188
2024-04-08,ABBV,Close,152.71311950683594
2024-04-15,ABBV,Close,158.06214904785156
2024-04-22,ABBV,Close,151.6127471923828
2024-04-29,ABBV,Close,155.5735626220703
2024-05-06,ABBV,Close,152.68606567382812
2024-05-13,ABBV,Close,158.07164001464844
2024-05-20,ABBV,Close,149.18116760253906
2024-05-27,ABBV,Close,153.15147399902344
2024-06-03,ABBV,Close,160.92112731933594
2024-06-10,ABBV,Close,160.1327667236328
